.draw,PC1,PC2
1,2.376021265559497,-1.29931534244281
2,-7.296412171083164,-1.7016942334820404
3,1.2558125255260997,-3.0281178719548145
4,-5.009484542044119,0.2621685140266121
5,-1.5022436418734015,5.126424384497029
6,6.985190517274482,-6.9549301701197175
7,-2.315294790043146,1.2879179358842228
8,-0.9142375162649985,-1.5702724392878733
9,4.084969875100504,-5.5048728298580585
10,3.161094049325649,0.5304951115775957
11,-0.8418474946646414,0.4993180276660213
12,-3.509834510809478,-4.526236139921613
13,-3.1077052080991825,3.742856151872416
14,4.002221535154957,-3.3091787824989662
15,-3.991268280949582,1.3703434982763545
16,-1.505807855373869,-0.10454273292572569
17,-5.622386339892895,6.959742068113123
18,-3.0732464551871748,0.21446609033234437
19,-5.412090475996334,-2.3524240998484833
20,5.780926810839538,1.3925355301992417
21,-1.3565299350616469,-1.1271301722206675
22,4.5753889070653955,-0.09567758588714151
23,-2.7304884230047506,5.921580285429434
24,8.433593167118664,0.30316907635434326
25,9.965073304519796,1.2293537025521564
26,-9.487072636950892e-4,-6.061611982117323
27,1.268980866452945,2.7052149067064093
28,-0.46460396844904156,-1.1129477345601706
29,9.299724306303228,6.555582723344899
30,0.6368294957792912,-5.485144099959527
31,-2.0119670789058905,-1.5905647568462655
32,-6.077943230974075,-0.7668768476226351
33,-0.11898397616156088,-6.075581381471393
34,5.170488583602051,1.4193267400569782
35,-0.8614237965696382,-2.0768020213992617
36,3.2483391139784223,-2.0197507595383866
37,-2.9443047809227347,1.3301909065543671
38,6.998207628151725,-1.5650134013573314
39,-4.251612391063808,-5.1616226469213
40,1.6637914413146697,2.154916185106222
41,-0.27673816916844124,2.601869465740055
42,3.125989104150173,5.303753364965439
43,-2.850431357316747,6.006040618324405
44,-0.04937773033435447,-3.0989198435618728
45,1.4624625802819538,-1.381019246588357
46,-5.380253798923722,-2.4359152889282076
47,-5.663119414414818,-2.428935241349627
48,-6.935308085441752,-4.291374735564979
49,5.735627944032475,-4.311216297825435
50,0.6008918215620951,-1.5652678224236136
51,-1.807191567049522,-0.6215518780715916
