"x","y","elevation"
-113.239166546117,37.5125000964992,1728
-113.238333212784,37.5125000964992,1718
-113.237499879451,37.5125000964992,1715
-113.236666546118,37.5125000964992,1710
-113.235833212784,37.5125000964992,1703
-113.234999879451,37.5125000964992,1701
-113.234166546118,37.5125000964992,1700
-113.233333212784,37.5125000964992,1704
-113.232499879451,37.5125000964992,1701
-113.231666546118,37.5125000964992,1692
-113.230833212785,37.5125000964992,1682
-113.229999879451,37.5125000964992,1676
-113.229166546118,37.5125000964992,1684
-113.228333212785,37.5125000964992,1693
-113.227499879451,37.5125000964992,1688
-113.226666546118,37.5125000964992,1683
-113.225833212785,37.5125000964992,1685
-113.224999879452,37.5125000964992,1682
-113.224166546118,37.5125000964992,1690
-113.223333212785,37.5125000964992,1698
-113.222499879452,37.5125000964992,1690
-113.221666546119,37.5125000964992,1668
-113.220833212785,37.5125000964992,1650
-113.219999879452,37.5125000964992,1639
-113.219166546119,37.5125000964992,1631
-113.218333212785,37.5125000964992,1626
-113.217499879452,37.5125000964992,1624
-113.216666546119,37.5125000964992,1625
-113.215833212786,37.5125000964992,1626
-113.214999879452,37.5125000964992,1627
-113.214166546119,37.5125000964992,1630
-113.213333212786,37.5125000964992,1631
-113.212499879452,37.5125000964992,1633
-113.211666546119,37.5125000964992,1634
-113.210833212786,37.5125000964992,1635
-113.209999879453,37.5125000964992,1637
-113.209166546119,37.5125000964992,1640
-113.208333212786,37.5125000964992,1641
-113.207499879453,37.5125000964992,1643
-113.20666654612,37.5125000964992,1645
-113.205833212786,37.5125000964992,1644
-113.204999879453,37.5125000964992,1645
-113.20416654612,37.5125000964992,1648
-113.203333212786,37.5125000964992,1650
-113.202499879453,37.5125000964992,1651
-113.20166654612,37.5125000964992,1652
-113.200833212787,37.5125000964992,1655
-113.199999879453,37.5125000964992,1657
-113.19916654612,37.5125000964992,1660
-113.198333212787,37.5125000964992,1661
-113.197499879454,37.5125000964992,1663
-113.19666654612,37.5125000964992,1665
-113.195833212787,37.5125000964992,1667
-113.194999879454,37.5125000964992,1667
-113.19416654612,37.5125000964992,1670
-113.193333212787,37.5125000964992,1671
-113.192499879454,37.5125000964992,1673
-113.191666546121,37.5125000964992,1678
-113.190833212787,37.5125000964992,1702
-113.189999879454,37.5125000964992,1760
-113.189166546121,37.5125000964992,1812
-113.188333212787,37.5125000964992,1848
-113.187499879454,37.5125000964992,1863
-113.186666546121,37.5125000964992,1871
-113.185833212788,37.5125000964992,1871
-113.184999879454,37.5125000964992,1871
-113.184166546121,37.5125000964992,1882
-113.183333212788,37.5125000964992,1897
-113.182499879454,37.5125000964992,1894
-113.181666546121,37.5125000964992,1871
-113.180833212788,37.5125000964992,1840
-113.179999879455,37.5125000964992,1828
-113.179166546121,37.5125000964992,1856
-113.178333212788,37.5125000964992,1894
-113.177499879455,37.5125000964992,1911
-113.176666546122,37.5125000964992,1893
-113.175833212788,37.5125000964992,1869
-113.174999879455,37.5125000964992,1867
-113.174166546122,37.5125000964992,1893
-113.173333212788,37.5125000964992,1915
-113.172499879455,37.5125000964992,1886
-113.171666546122,37.5125000964992,1839
