factor_id,purity,n_articles,factor_rank,factor_label
1782,0.9264694055478266,45,113,113 | factor 1782
32608,0.9258791763339438,45,114,114 | factor 32608
20527,0.9258390948512554,22,115,115 | factor 20527
16072,0.9254033148926648,518,116,116 | factor 16072
21268,0.9249746952094403,2847,117,117 | factor 21268
15955,0.9249065747871246,398,118,118 | factor 15955
14131,0.9247825188914771,51,119,119 | factor 14131
15820,0.9243393693460173,679,120,120 | factor 15820
9401,0.9240864546047586,47,121,121 | factor 9401
20674,0.9239686059358456,295,122,122 | factor 20674
24409,0.9237406889759483,213,123,123 | factor 24409
14285,0.9236074205931913,25,124,124 | factor 14285
3245,0.9232560305433883,74,125,125 | factor 3245
2193,0.9225076834715731,443,126,126 | factor 2193
24188,0.9218339178789385,26,127,127 | factor 24188
28030,0.9217168624136161,252,128,128 | factor 28030
19611,0.9215766908767423,96,129,129 | factor 19611
16027,0.9214835941299099,198,130,130 | factor 16027
28316,0.9212370049051832,28,131,131 | factor 28316
7951,0.9211976782439891,112,132,132 | factor 7951
10333,0.9210807439335403,30,133,133 | factor 10333
15106,0.92044806542967,468,134,134 | factor 15106
28373,0.9201071960578991,47,135,135 | factor 28373
931,0.9198728926893882,104,136,136 | factor 931
9942,0.9197354644460113,70,137,137 | factor 9942
17797,0.919184708903857,38,138,138 | factor 17797
21186,0.9188056618747615,60,139,139 | factor 21186
29858,0.9187307437078002,263,140,140 | factor 29858
8,0.918671377672085,91,141,141 | factor 8
10945,0.9186279156728221,46,142,142 | factor 10945
25920,0.9184040430700575,426,143,143 | factor 25920
26117,0.918292263300351,65,144,144 | factor 26117
29671,0.9181733798972778,59,145,145 | factor 29671
3654,0.9177287993175426,433,146,146 | factor 3654
1915,0.9173879809047782,301,147,147 | factor 1915
14299,0.9172267459654553,102,148,148 | factor 14299
14352,0.9167335235138049,59,149,149 | factor 14352
27204,0.9163222413530524,22,150,150 | factor 27204
27213,0.9161876375898603,29,151,151 | factor 27213
31238,0.9160775127609072,21,152,152 | factor 31238
1582,0.9159526468604927,23,153,153 | factor 1582
31113,0.9157425033067479,87,154,154 | factor 31113
1706,0.9156647643329853,82,155,155 | factor 1706
28298,0.9152254919178351,30,156,156 | factor 28298
24266,0.9151084346394289,88,157,157 | factor 24266
19413,0.9145858934550026,460,158,158 | factor 19413
26959,0.9140037566064176,21,159,159 | factor 26959
27433,0.9139226300908044,67,160,160 | factor 27433
11026,0.9138038893534738,61,161,161 | factor 11026
18482,0.9126925464472574,116,162,162 | factor 18482
10130,0.9125986863778814,36,163,163 | factor 10130
22691,0.9115811014016568,23,164,164 | factor 22691
