article_id,factor_id,score
1,3654,2.5748751163482666
1,6170,1.745733618736267
1,13949,8.226025581359863
1,15263,3.082000732421875
1,15800,3.5153791904449463
1,15929,4.6327738761901855
1,17353,4.301321506500244
1,17512,0.9453338384628296
1,18038,1.0945289134979248
1,20108,0.825669527053833
1,20458,2.029391288757324
1,21268,0.6204273104667664
1,23568,7.9949774742126465
1,26937,2.7305784225463867
1,28247,22.884708404541016
1,28706,1.3964985609054565
1,30228,2.4353294372558594
1,30912,0.6960470080375671
1,31048,15.219972610473633
1,31115,0.8513661026954651
2,1429,1.9106686115264893
2,1790,3.482748508453369
2,2917,2.5779612064361572
2,3654,0.7879199981689453
2,9639,1.7643076181411743
2,10823,0.6144489645957947
2,11431,1.1308656930923462
2,13464,0.7264178395271301
2,13765,0.280743807554245
2,13949,32.128204345703125
2,17231,0.9935376644134521
2,18038,0.849254310131073
2,18113,0.7966555953025818
2,19413,0.9616560339927673
2,20458,1.7399368286132812
2,21268,1.3280001878738403
2,26923,0.9135051965713501
2,27063,0.7145085334777832
2,30409,0.6917390823364258
2,31115,2.7727386951446533
2,32370,27.484683990478516
3,1479,16.36395263671875
3,5154,4.565922260284424
3,11431,0.8699018955230713
3,13592,0.988191545009613
3,19034,0.8794269561767578
3,21268,0.9942885637283325
3,28625,2.6062700748443604
3,32361,11.761577606201172
3,32695,0.9232988357543945
4,1896,11.193761825561523
4,2193,40.89043426513672
4,4061,1.106967568397522
4,4185,0.7698411345481873
4,4781,0.9131868481636047
4,5090,3.640512228012085
4,6375,2.125742197036743
4,7728,1.0774482488632202
4,8857,4.778415203094482
4,8874,4.389019966125488
4,9220,6.019216537475586
4,9824,3.2523112297058105
4,10263,0.5952962040901184
4,13429,0.7888966798782349
4,13445,1.1091150045394897
4,13592,10.927937507629395
4,13949,0.712384819984436
4,15820,4.653102874755859
4,16072,1.1415510177612305
4,16902,0.8648383617401123
4,17819,0.6968414783477783
4,18346,6.492186546325684
4,19413,1.1016268730163574
4,19923,1.6585568189620972
4,20674,1.0691674947738647
4,21268,146.0276336669922
4,21292,1.8491417169570923
4,22623,6.339466094970703
4,22732,1.5337486267089844
4,23095,1.0513304471969604
4,24451,1.1943042278289795
4,24780,1.494142770767212
4,26577,2.777428150177002
4,27133,1.8378549814224243
4,27512,0.47920313477516174
4,30482,2.2033538818359375
4,31857,0.8997965455055237
4,32632,4.059731960296631
5,8420,2.2385659217834473
5,12119,0.43085238337516785
5,13542,2.979328155517578
5,13550,1.7039223909378052
5,13592,2.624911069869995
5,14299,0.8685855865478516
5,16307,27.739627838134766
5,18987,0.8133934140205383
5,19345,1.4532891511917114
5,20108,1.8382647037506104
5,21152,8.001442909240723
5,21451,0.7248591780662537
5,22552,1.7407256364822388
5,23382,0.7864104509353638
5,24781,0.9283229112625122
5,27063,5.9833855628967285
5,28005,1.0368812084197998
5,28583,4.338393211364746
5,28790,1.0333856344223022
5,30233,0.8097105622291565
5,30912,0.7034820318222046
5,31144,3.8587043285369873
5,31857,1.6646548509597778
6,1479,1.120540738105774
6,5627,0.6474583745002747
6,6493,0.7072277665138245
6,12119,0.8285372257232666
6,12724,2.2857906818389893
6,15063,1.0457147359848022
6,15929,0.436877965927124
6,17048,1.2769036293029785
6,21152,1.9300366640090942
6,22713,0.5107961297035217
6,26588,0.9704652428627014
6,27063,1.438755989074707
7,2613,1.9517418146133423
7,6544,1.079620122909546
7,6920,0.9676316976547241
7,7619,1.454691767692566
7,7951,1.1359572410583496
7,9680,0.9297577738761902
7,10842,1.6095584630966187
7,13814,1.084263563156128
7,13949,6.453649520874023
7,15263,2.590545892715454
7,15929,2.0346615314483643
7,16027,5.811968803405762
7,16828,1.4772379398345947
7,17009,2.345975399017334
7,17454,1.2236579656600952
7,18038,7.176850318908691
7,19199,1.0293318033218384
7,19327,0.8262845873832703
7,19542,1.0430538654327393
7,20331,4.0508599281311035
7,21003,1.2561256885528564
7,23568,27.438905715942383
7,24584,61.584625244140625
7,25626,0.9198321104049683
7,26588,8.268383026123047
7,27512,1.1986359357833862
7,28101,6.633115768432617
7,29967,1.4335012435913086
7,31115,1.838495135307312
7,31930,0.7341296076774597
8,2613,2.1590394973754883
8,4012,0.9265146255493164
8,7352,1.3080668449401855
8,15263,1.198614478111267
8,15760,1.576080322265625
8,15929,0.6003792881965637
8,22552,1.2311875820159912
8,23584,0.8705293536186218
8,26117,1.345104694366455
8,30228,1.2774415016174316
8,30912,0.7827971577644348
8,31115,3.0259151458740234
8,31280,1.4806580543518066
8,32168,0.8797040581703186
9,188,0.7957358956336975
9,2893,14.12453842163086
9,3218,0.8916284441947937
9,3300,0.9971275329589844
9,3633,0.724416971206665
9,3764,8.906761169433594
9,4085,1.0685337781906128
9,5631,24.822011947631836
9,5636,3.602221965789795
9,7352,1.2043050527572632
9,8333,0.9036592841148376
9,8592,17.737010955810547
9,9168,1.9991471767425537
9,9254,6.325773239135742
9,9401,4.625853538513184
9,9677,0.8997977375984192
9,10080,29.14523696899414
9,10247,0.9062991142272949
9,10708,0.8495299220085144
9,11093,1.7751381397247314
9,11100,12.527997970581055
9,11367,0.7722997069358826
9,11646,3.961038112640381
9,12256,1.1868667602539062
9,12325,0.8127277493476868
9,13385,3.051213264465332
9,13550,3.3070263862609863
9,14018,0.6288811564445496
9,14122,1.394942283630371
9,14323,1.3586995601654053
9,14415,0.6277701258659363
9,15263,1.2000067234039307
9,15407,3.9627885818481445
9,15435,0.8295640349388123
9,15843,2.0493099689483643
9,16205,0.6805983781814575
9,16292,10.228026390075684
9,16307,10.875687599182129
9,16813,28.468177795410156
9,18214,0.7713892459869385
9,18482,4.451076507568359
9,18866,1.4348403215408325
9,19345,0.9023565053939819
9,19518,6.249671936035156
9,20458,1.4740358591079712
9,24781,13.79107666015625
9,25920,2.590280055999756
9,26366,2.2912368774414062
9,27512,0.9020613431930542
9,27578,1.2054650783538818
9,28450,3.6337318420410156
9,28931,51.28990936279297
9,30374,2.20947527885437
9,30912,0.8230533003807068
9,31048,0.8581475615501404
9,31240,0.9652864336967468
9,31792,1.0534459352493286
9,31857,2.0151731967926025
9,31939,1.1538633108139038
9,32608,0.9103541970252991
9,32695,0.892661988735199
10,1184,1.1112604141235352
10,2193,31.608243942260742
10,2371,4.226265907287598
10,2613,3.0592544078826904
10,5090,2.2645649909973145
10,5563,1.0894421339035034
10,7871,1.8288527727127075
10,7876,0.8210644721984863
10,9220,1.0613993406295776
10,9767,3.9857020378112793
10,11990,0.8667474389076233
10,12227,0.9050095081329346
10,13263,0.9440968036651611
10,13592,21.127620697021484
10,15200,3.7135753631591797
10,15480,1.51236891746521
10,15929,0.5287831425666809
10,17661,0.5974103808403015
10,18010,2.1506388187408447
10,21268,77.54524993896484
10,22623,1.104481816291809
10,24781,0.8597450852394104
10,28931,1.2188940048217773
10,31970,5.9351630210876465
10,32632,5.721933841705322
11,5459,1.7653815746307373
11,5473,0.7854755520820618
11,6224,0.7993339896202087
11,7352,0.8301507234573364
11,7824,1.6308506727218628
11,9507,0.797383189201355
11,10080,1.2741870880126953
11,10952,0.708862841129303
11,12848,3.1042139530181885
11,13550,0.7828260660171509
11,13949,0.8107145428657532
11,14018,0.8169950842857361
11,14557,0.7949978113174438
11,14657,3.4852004051208496
11,14950,0.6638448238372803
11,15063,0.599018931388855
11,15760,0.9601959586143494
11,18517,5.435061931610107
11,22552,1.8270976543426514
11,27063,5.4267377853393555
11,28790,1.1670944690704346
11,29062,3.007279872894287
12,8,0.73623126745224
12,241,0.8367036581039429
12,964,0.6084798574447632
12,2490,0.6137691736221313
12,2547,0.8458817601203918
12,2713,0.7534964680671692
12,4634,1.256262183189392
12,6942,1.1483830213546753
12,9258,1.9639254808425903
12,10354,1.562518835067749
12,10484,10.600008010864258
12,10639,0.8059347867965698
12,10842,3.362874984741211
12,11466,0.8056896924972534
12,11856,3.811290740966797
12,13550,1.231967568397522
12,14780,19.22219467163086
12,15760,0.7901788949966431
12,17048,0.9735214114189148
12,17162,2.1254160404205322
12,19345,0.8126981258392334
12,19396,1.3538862466812134
12,19542,1.819343090057373
12,20108,0.8224883675575256
12,21208,6.215661525726318
12,22552,2.70664381980896
12,24959,1.0267747640609741
12,25920,0.7811461687088013
12,26588,0.5875071883201599
12,26628,0.7942435145378113
12,27392,0.8493165373802185
12,29547,0.8968395590782166
12,29799,0.8610103130340576
12,31792,1.7045987844467163
13,2893,1.433497428894043
13,3325,1.0555368661880493
13,3527,1.9260467290878296
13,6170,0.90798187255859375
13,6397,0.7828236222267151
13,6809,0.7628294229507446
13,7352,0.7214730381965637
13,7545,4.398443222045898
13,10080,4.775485515594482
13,10484,12.597249984741211
13,11093,21.018939971923828
13,11466,0.9811376333236694
13,12848,3.4010555744171143
13,13385,1.1096162796020508
13,13550,2.6175193786621094
13,13592,0.6760514378547668
