article_id,UMAP1,UMAP2
1,-1.481423328840005,3.034579807974922
2,6.663577367342246,-3.2955555374840624
3,0.31594120410753535,2.156396204688179
4,-2.9533199772469874,-5.331350510857476
5,3.2578640475638037,-2.7158677036980516
6,0.7367145314581518,0.6417268012543791
7,-2.334895680867898,2.25269871399604
8,0.978735853708518,0.4943430927475565
9,3.5000083938009863,-1.828565305016411
10,-4.26138777586149,-7.085609143517388
11,0.711079169786704,0.6256091092606657
12,0.006208051718008978,0.3781937231203192
13,1.6432092681295996,-0.5240648443917162
14,0.10325186399294184,0.15608417437277966
15,-3.7456452355019922,-4.296380227349175
16,1.661215831316245,-1.2981608565071947
17,0.3259453072912817,0.05084612415038281
18,-0.10398967119382574,-2.5117494518975145
19,3.3112414374716406,-2.7357127125481493
20,1.5666430487997656,0.9933350031157606
21,-5.1666113838784575,4.659436041571723
22,-4.31499786230253,-7.178878014824761
23,-1.070558498822915,-2.477862303994072
24,1.514184524095786,-0.543168371460808
25,-1.4784682497613306,3.0274706427832716
26,-5.348987291776407,5.082667166449653
27,1.0808822408087377,1.5577458684226149
28,4.864927579439414,0.961292499758827
29,-0.4590453684561129,-3.8555600102166063
30,0.8568485274679785,0.6047362183114164
31,0.8831875815756445,0.6946142856856459
32,1.7375288501150732,-0.8830024655083544
33,-0.9131836697690363,-8.385572140953911
34,-1.4262185201279993,1.8420575206061476
35,-3.5880226597421045,-4.048359578392876
36,-2.2454031214349146,-3.5450910980919725
37,-3.06928343626188,2.8528271262427443
38,-4.529346416913736,6.872506911017524
39,2.198064376390708,1.2102109734793776
40,-4.5709082588784575,3.2709372584601515
41,-3.429403017484414,0.7214664165755384
42,1.2177238955862646,0.5878902022620314
43,-0.5139341049127455,0.7732077185889357
44,4.944154550112021,5.30570107147895
45,-3.377973507367837,-3.9722339565972216
46,0.5419689908392553,0.7627425734778517
47,-0.5292836141072388,0.21147548601828747
48,-2.4119771227471705,-1.9205467159966356
49,3.8175390258200292,1.7269949261923903
50,-2.5366323694817896,3.9727430884619825
51,-0.55161390323175,1.216629380442726
52,2.0183527961142187,0.08500310228072339
53,-2.235090445005166,1.8441695515891188
54,0.04218893197847651,-4.978569215081109
55,-3.6395530209176417,-3.995546048424614
56,-0.23045567723439886,0.3528883253117674
57,-1.9974332556359644,-2.7040965016106493
58,-0.4588099003069277,-0.25855833842552967
59,-0.2303434118859644,-0.7380674536446459
60,-2.0858660444848414,0.24938933000765973
61,-1.5677878365151758,3.157446438529121
62,1.0297726884253149,1.772278839804756
63,0.43624829200578974,0.5228172783633345
64,-3.974740456067788,-5.208291714928521
65,-3.907209824048745,-3.985989278099907
66,1.4978588118918066,2.0838087146063917
67,0.6460266604788427,1.388418907382118
68,-0.7760781303279276,-8.508019154808892
69,3.5213902488119726,-1.7086262161949999
70,3.624480058229697,6.169358069159614
71,-0.5161596119634981,-0.1756875570038683
72,-0.03113360258268072,-3.4128722603539354
73,1.7453706756003027,2.3139110152503126
74,5.4402683272726655,5.448901468970405
75,3.6038153663046484,6.299053961493598
76,-1.8354596600167628,-2.8213927204827196
77,2.522278358019126,-2.0495864804009325
78,0.9201745286352758,-1.0438892300347216
