E3,Magnitude,.draw,PC1,PC2
-1.917,0.24322665691127676,1,2.376021265559497,-1.29931534244281
-1.724,0.03539854343485686,1,2.376021265559497,-1.29931534244281
-1.426,-0.25849429798811707,1,2.376021265559497,-1.29931534244281
-1.119,-0.49030191489988206,1,2.376021265559497,-1.29931534244281
-1.015,-0.5451506002508651,1,2.376021265559497,-1.29931534244281
-0.935,-0.5776229748413019,1,2.376021265559497,-1.29931534244281
-0.927,-0.5803826694169018,1,2.376021265559497,-1.29931534244281
-0.807,-0.6107494066567417,1,2.376021265559497,-1.29931534244281
-0.803,-0.6113992741363019,1,2.376021265559497,-1.29931534244281
-0.803,-0.6113992741363019,1,2.376021265559497,-1.29931534244281
-0.793,-0.61292022354265,1,2.376021265559497,-1.29931534244281
-0.702,-0.6200465962681156,1,2.376021265559497,-1.29931534244281
-0.576,-0.6105568011453932,1,2.376021265559497,-1.29931534244281
-0.455,-0.5814770844390962,1,2.376021265559497,-1.29931534244281
-0.432,-0.573898802487654,1,2.376021265559497,-1.29931534244281
-0.265,-0.5017846795939882,1,2.376021265559497,-1.29931534244281
-0.262,-0.500243689553444,1,2.376021265559497,-1.29931534244281
-0.182,-0.45638847889951484,1,2.376021265559497,-1.29931534244281
-0.178,-0.45406148741835195,1,2.376021265559497,-1.29931534244281
-0.021,-0.35353349015536895,1,2.376021265559497,-1.29931534244281
-0.015,-0.3493563554364317,1,2.376021265559497,-1.29931534244281
0.047,-0.3048611234860696,1,2.376021265559497,-1.29931534244281
0.055,-0.2989476298565003,1,2.376021265559497,-1.29931534244281
0.195,-0.18962798829180824,1,2.376021265559497,-1.29931534244281
0.222,-0.16738003151438874,1,2.376021265559497,-1.29931534244281
0.264,-0.13212207601138076,1,2.376021265559497,-1.29931534244281
0.297,-0.10392421313012229,1,2.376021265559497,-1.29931534244281
0.34,-0.06662148909396806,1,2.376021265559497,-1.29931534244281
0.487,0.06417347132480036,1,2.376021265559497,-1.29931534244281
0.665,0.2246480642078963,1,2.376021265559497,-1.29931534244281
0.764,0.3131036066761127,1,2.376021265559497,-1.29931534244281
1.023,0.543979179419286,1,2.376021265559497,-1.29931534244281
1.132,0.6443392207629742,1,2.376021265559497,-1.29931534244281
1.133,0.6452767133479267,1,2.376021265559497,-1.29931534244281
1.342,0.8495880175687005,1,2.376021265559497,-1.29931534244281
1.465,0.9786884221603328,1,2.376021265559497,-1.29931534244281
1.472,0.9862572064551062,1,2.376021265559497,-1.29931534244281
